0	-0.606143057	0.028423203	0	0	0.3474	28.053	0	-8.81138688	-11.91178515	0	0	-3	-999	0	0	0	0	7.99E-12	0	0.232897621
1	9.608105659	12.98569489	4.576421738	9.151110649	10.022	1449.25	530.49	11.85472492	10.64198323	21	33	999	13.7	1	0.999999499	1	0.99998343	1	33	20.87416954
1	2.264531851	2.122727156	0.025530793	1.286473155	2.5807	326.4559	48.85	4.499714699	2.528588945	0	3	999	9.4	0	0.99009901	0	0	0.00990099	5	0.14841264
1	2.268808842	2.092149258	0.003031592	1.322913408	2.5807	326.4559	48.85	4.14354146	2.264680521	0	3	999	9.3	0	0.987567265	0	0	0.012432735	4	0.072044984
1	2.711429358	2.713170767	0.358431995	2.018719673	3.1942	411.5601	72.32	3.591144929	3.045615375	1	5	999	7.8	0	0.715252751	0	0	0.284747249	7	0.13668336
1	2.741147518	2.196121454	0	1.810175776	2.5857	351.8317	45.79	3.240540043	2.01397455	0	5	999	8.6	0	0.940649057	0	0	0.059350943	3	0.152513847
1	1.429957867	1.571211219	0.145260975	1.411893249	1.7018	212.3122	64.43	1.803720889	1.803720889	1	3	999	-999	0	0	0	0	1	4	0.156673462
1	2.268599033	3.099652529	0.805049419	2.031334877	3.0179	408.9142	94.83	2.095372967	2.095372967	3	5	999	-999	0	0	0	0	1	2	0.221449133
1	1.050981522	0.947258413	0.24529919	0.728108227	1.4777	161.2429	26.02	2.399533304	0.161254146	2	1	999	9.7	0	0.995013121	0	0	0.004986879	4	0.196520422
1	1.787564635	2.946111202	0.473936111	1.812591434	2.7389	346.4593	74.6	2.157417645	2.157417645	2	4	999	-999	0	0	0	0	1	1	0.131694292
1	2.192653418	1.782286525	0	1.192816138	2.4241	298.4458	31.78	4.837504041	2.866378287	0	2	999	9.4	0	0.99009901	0	0	0.00990099	4	0.037157937
1	1.310790539	1.34275794	0.5031147	1.300763011	1.5697	208.2134	75.27	1.158434095	1.039113956	2	5	7.9	-999	0	0	0.240253073	0	0.759746927	4	0.119274194
1	2.556292057	2.805163622	0.362984896	2.094431639	3.3869	437.5301	67.03	4.680023458	4.267587739	1	7	999	7.6	0	0.61313682	0	0	0.38686318	9	0.200041717
1	1.157399416	1.213065147	0	1.233185291	2.191	261.3584	29.54	2.572466325	1.351327264	0	3	999	8.6	0	0.940649057	0	0	0.059350943	4	0.127571136
1	2.342975616	2.230298042	0	1.217619538	3.0006	404.3313	38.13	5.099662641	5.048209126	0	4	999	6.5	0	0.11181577	0	0	0.88818423	7	0.216232091
1	2.538639784	1.909408927	0	1.342075586	2.2041	308.7641	42.55	3.492642486	3.492631577	0	4	999	2.8	0	2.51182E-05	0	0	0.999974882	1	0.129564833
1	0.910464227	0.768827438	0.236869335	0.534691453	1.2916	151.248	26.02	2.209728695	-0.636643349	2	1	999	10.6	0	0.999369441	0	0	0.000630559	0	0.227162034
1	1.792777658	3.4960289	0.279919118	2.245711327	3.8153	488.6114	106.97	3.826106626	3.826106626	1	7	999	-999	0	0	0	0	1	8	0.053643715
1	1.9678514	1.827142119	0.142989889	1.198357105	2.4172	294.3899	32.34	2.366635495	-0.479736549	1	3	999	10.6	0	0.999369441	0	0	0.000630559	5	0.139899996
